nombre;fecha;producto;libras;precio;;;;;;;;;;;13:00;5:00;X;;X;;
noelio;23/07/2002;manzana;1;1000;;;;;;;;;;;13:00;5:00;X;;X;;
jose;24/07/2002;cebolla;2;2000;;;;;;;;;;;10:00;2:00;X;X;X;X;X
lal;25/07/2002;lona;3;3000;;;;;;;;;;;10:00;2:00;X;X;X;X;X
pola;26/07/2002;cactus;4;4000;;;;;;;;;;;;;;;;;
hola;27/07/2002;gaseosa;5;5000;;;;;;;;;;;;;;;;;
yuli;28/07/2002;chito;6;6000;;;;;;;;;;;;;;;;;
sof;29/07/2002;pola;7;7000;;;;;;;;;;;;;;;;;
dia;30/07/2002;rot;8;8000;;;;;;;;;;;;;;;;;
kiio;31/07/2002;cacao;9;9000;;;;;;;;;;;;;;;;;
pou;1/08/2002;kipo;10;10000;;;;;;;;;;;;;;;;;
gato;2/08/2002;gorra;11;11000;;;;;;;;;;;;;;;;;
ro;3/08/2002;helado;12;12000;;;;;;;;;;;;;;;;;
rata;4/08/2002;jugo;13;13000;;;;;;;;;;;;;;;;;
reto;5/08/2002;tomate;14;14000;;;;;;;;;;;;;;;;;
toro;6/08/2002;botella;15;15000;;;;;;;;;;;;;;;;;
